 ,Area,X,Y,Major,Minor,Angle
1,3.3985,288.7043,4.7896,2.4020,1.8015,90.0000
2,137.6396,284.3002,13.0777,16.3337,10.7292,156.0906
3,40.2157,298.2010,13.8328,7.6680,6.6777,85.9074
4,2.5489,273.8035,16.7635,1.8015,1.8015,0.0000
5,487.9692,274.9395,30.9391,28.9556,21.4570,170.0377
6,4.2481,246.6626,22.0852,3.0025,1.8015,90.0000
7,63.1556,297.2883,27.1325,11.5180,6.9814,163.8912
8,2.5489,240.2765,29.5357,1.8015,1.8015,0.0000
9,144.4366,252.5739,41.8685,18.1243,10.1467,77.1135
10,90.6269,238.2343,47.9738,15.0053,7.6899,115.7009
11,2.5489,219.5217,41.2435,1.8015,1.8015,0.0000
12,44.7470,266.5922,49.0307,10.6716,5.3388,44.5984
13,213.8229,282.4853,56.9655,24.5924,11.0704,127.3529
14,5.0978,259.7009,50.2904,3.6030,1.8015,0.0000
15,189.4669,221.8143,64.8270,22.1539,10.8891,103.8710
16,92.8926,264.0945,60.1665,14.2005,8.3289,33.0628
17,8.2131,247.6536,56.5664,4.9039,2.1324,44.0100
18,22.9399,236.5119,61.9588,6.9369,4.2105,21.2395
19,5.9474,255.2534,61.5421,3.2560,2.3257,45.0003
20,131.4090,277.3303,69.3271,18.3263,9.1298,49.0308
21,148.4016,251.0571,72.2650,15.6886,12.0439,95.4631
22,228.2665,233.9096,83.1347,21.2761,13.6603,86.7347
23,77.5993,265.0246,73.9411,11.8688,8.3246,61.3915
24,111.3012,288.6881,79.3677,15.8126,8.9621,58.9505
25,26.3384,196.0145,77.2024,7.0040,4.7880,51.4566
26,21.8071,242.2117,77.1203,8.8499,3.1374,112.7521
27,207.5923,275.4929,86.7592,24.5195,10.7798,60.7239
28,24.0728,257.3186,79.4097,6.4358,4.7625,41.0312
29,32.2858,214.4241,80.9278,10.7519,3.8233,177.1554
30,2.5489,205.1530,80.0922,1.8015,1.8015,0.0000
31,8.2131,294.9620,83.3770,5.3086,1.9699,82.9199
32,6.7970,266.0204,82.8196,3.5811,2.4167,116.7356
33,30.5866,204.7687,85.7046,7.0493,5.5246,127.9940
34,31.1530,258.7139,85.7235,12.7873,3.1019,3.6722
35,267.0662,215.6453,95.3260,24.5116,13.8726,39.9128
36,33.1355,175.8744,90.1944,7.6185,5.5378,30.0179
37,92.6094,250.4139,93.0906,14.4353,8.1684,36.5104
38,56.0754,261.0394,94.4985,10.0329,7.1164,57.5040
39,85.8123,194.6501,93.2859,14.9705,7.2983,14.4156
40,50.1280,239.6842,97.3051,12.9657,4.9226,53.7024
41,4.2481,281.4668,95.7381,2.4794,2.1815,45.0006
42,48.7120,229.8713,101.0171,10.6033,5.8493,54.1999
43,70.2359,184.1751,103.1044,14.0099,6.3831,114.3062
44,122.0631,269.7251,103.8437,14.4034,10.7902,71.6702
45,97.7071,197.5175,103.1592,14.5773,8.5341,1.6876
46,188.6172,247.2667,108.3086,18.4006,13.0515,64.5807
47,3.9649,164.4417,100.5809,2.5804,1.9564,45.0002
48,5.0978,281.6087,100.7583,2.9845,2.1748,107.2961
49,98.2735,259.8151,109.1332,15.0834,8.2956,61.3770
50,2.5489,277.5287,102.4435,1.8015,1.8015,0.0000
51,107.3362,170.4241,107.5279,19.3803,7.0517,168.8434
52,5.6642,223.3268,105.3438,3.7979,1.8989,125.1342
53,2.5489,282.3183,104.5722,1.8015,1.8015,0.0000
54,7.0802,235.1251,106.4029,3.2683,2.7583,101.3002
55,144.4366,152.3645,116.0170,19.0127,9.6726,117.7301
